,date,wind_code
156,2006/1/1 00:00,8411.T
157,2006/1/1 00:00,8601.T
158,2006/1/1 00:00,8604.T
159,2006/1/1 00:00,8766.T
160,2006/1/1 00:00,8795.T
161,2006/1/1 00:00,8801.T
162,2006/1/1 00:00,8802.T
163,2006/1/1 00:00,8803.T
164,2006/1/1 00:00,8830.T
165,2006/1/1 00:00,9001.T
166,2006/1/1 00:00,9005.T
167,2006/1/1 00:00,9007.T
168,2006/1/1 00:00,9008.T
169,2006/1/1 00:00,9009.T
170,2006/1/1 00:00,9020.T
171,2006/1/1 00:00,9021.T
172,2006/1/1 00:00,9064.T
173,2006/1/1 00:00,9101.T
174,2006/1/1 00:00,9104.T
175,2006/1/1 00:00,9107.T
176,2006/1/1 00:00,9202.T
177,2006/1/1 00:00,9301.T
178,2006/1/1 00:00,9432.T
179,2006/1/1 00:00,9433.T
180,2006/1/1 00:00,9501.T
181,2006/1/1 00:00,9502.T
182,2006/1/1 00:00,9503.T
183,2006/1/1 00:00,9531.T
184,2006/1/1 00:00,9532.T
185,2006/1/1 00:00,9605.T
186,2006/1/1 00:00,9613.T
187,2006/1/1 00:00,9735.T
188,2006/1/1 00:00,9766.T
189,2006/1/1 00:00,9983.T
190,2006/1/1 00:00,9984.T
